             r          p1s           p2s           p2p           p3s           p6p 
   0.71839E+01  -0.26561E-06  -0.38640E-04   0.20172E-04   0.51418E-01   0.26869E-01
   0.72943E+01  -0.24403E-06  -0.35508E-04   0.16586E-04   0.47373E-01   0.31752E-01
   0.73526E+01  -0.23326E-06  -0.33949E-04   0.14848E-04   0.45356E-01   0.34303E-01
   0.74768E+01  -0.21178E-06  -0.30845E-04   0.11478E-04   0.41331E-01   0.39647E-01
   0.76702E+01  -0.18187E-06  -0.26533E-04   0.69798E-05   0.35728E-01   0.47723E-01
   0.78885E+01  -0.15273E-06  -0.22345E-04   0.27860E-05   0.30270E-01   0.56427E-01
   0.80819E+01  -0.13056E-06  -0.19161E-04  -0.30512E-06   0.26111E-01   0.63716E-01
   0.82061E+01  -0.11791E-06  -0.17346E-04  -0.20346E-05   0.23738E-01   0.68169E-01
   0.82717E+01  -0.11168E-06  -0.16453E-04  -0.28785E-05   0.22568E-01   0.70450E-01
   0.84114E+01  -0.99416E-07  -0.14694E-04  -0.45257E-05   0.20263E-01   0.75119E-01
   0.86289E+01  -0.82733E-07  -0.12302E-04  -0.67392E-05   0.17121E-01   0.81883E-01
   0.88746E+01  -0.66977E-07  -0.10041E-04  -0.88030E-05   0.14144E-01   0.88735E-01
   0.90922E+01  -0.55349E-07  -0.83709E-05  -0.10306E-04   0.11937E-01   0.94073E-01
   0.92318E+01  -0.48878E-07  -0.74401E-05  -0.11132E-04   0.10704E-01   0.97127E-01
   0.93057E+01  -0.45738E-07  -0.69878E-05  -0.11528E-04   0.10103E-01   0.98623E-01
   0.94628E+01  -0.39653E-07  -0.61104E-05  -0.12284E-04   0.89355E-02   0.10153E+00
   0.97075E+01  -0.31604E-07  -0.49466E-05  -0.13248E-04   0.73791E-02   0.10529E+00
   0.99839E+01  -0.24281E-07  -0.38829E-05  -0.14055E-04   0.59458E-02   0.10842E+00
   0.10229E+02  -0.19085E-07  -0.31234E-05  -0.14548E-04   0.49127E-02   0.11020E+00
   0.10386E+02  -0.16285E-07  -0.27116E-05  -0.14765E-04   0.43474E-02   0.11085E+00
   0.10469E+02  -0.14952E-07  -0.25148E-05  -0.14849E-04   0.40756E-02   0.11105E+00
   0.10646E+02  -0.12424E-07  -0.21397E-05  -0.14965E-04   0.35539E-02   0.11111E+00
   0.10921E+02  -0.92099E-08  -0.16576E-05  -0.14979E-04   0.28735E-02   0.11030E+00
   0.11232E+02  -0.64430E-08  -0.12353E-05  -0.14772E-04   0.22635E-02   0.10809E+00
   0.11507E+02  -0.45975E-08  -0.94715E-06  -0.14411E-04   0.18348E-02   0.10504E+00
   0.11684E+02  -0.36552E-08  -0.79654E-06  -0.14097E-04   0.16044E-02   0.10256E+00
   0.11778E+02  -0.32224E-08  -0.72622E-06  -0.13907E-04   0.14948E-02   0.10110E+00
   0.11976E+02  -0.24346E-08  -0.59556E-06  -0.13449E-04   0.12864E-02   0.97640E-01
   0.12286E+02  -0.15102E-08  -0.43532E-06  -0.12604E-04   0.10190E-02   0.91367E-01
   0.12636E+02  -0.81171E-09  -0.30412E-06  -0.11476E-04   0.78348E-03   0.83103E-01
   0.12946E+02  -0.42187E-09  -0.22123E-06  -0.10342E-04   0.62006E-03   0.74858E-01
   0.13145E+02  -0.25834E-09  -0.18082E-06  -0.95555E-05   0.53288E-03   0.69159E-01
   0.13250E+02  -0.19438E-09  -0.16282E-06  -0.91231E-05   0.49151E-03   0.66028E-01
   0.13473E+02  -0.10205E-09  -0.13117E-06  -0.81692E-05   0.41307E-03   0.59125E-01
   0.13822E+02  -0.52542E-10  -0.96477E-07  -0.66025E-05   0.31248E-03   0.47796E-01
   0.14215E+02  -0.94113E-10  -0.73105E-07  -0.47402E-05   0.22350E-03   0.34330E-01
   0.14564E+02  -0.18659E-09  -0.62160E-07  -0.30332E-05   0.16118E-03   0.21983E-01
   0.14788E+02  -0.26357E-09  -0.58588E-07  -0.19192E-05   0.12760E-03   0.13920E-01
   0.14906E+02  -0.30813E-09  -0.57548E-07  -0.13262E-05   0.11157E-03   0.96272E-02
   0.15158E+02  -0.40890E-09  -0.56899E-07  -0.61254E-07   0.80928E-04   0.46536E-03
   0.15550E+02  -0.57419E-09  -0.58999E-07   0.19061E-05   0.41136E-04  -0.13795E-01
   0.15992E+02  -0.76021E-09  -0.64099E-07   0.40954E-05   0.54002E-05  -0.29679E-01
   0.16384E+02  -0.91559E-09  -0.69742E-07   0.59795E-05  -0.19882E-04  -0.43364E-01
   0.16636E+02  -0.10082E-08  -0.73537E-07   0.71518E-05  -0.33532E-04  -0.51886E-01
   0.16769E+02  -0.10546E-08  -0.75537E-07   0.77581E-05  -0.40037E-04  -0.56295E-01
   0.17052E+02  -0.11467E-08  -0.79682E-07   0.90117E-05  -0.52387E-04  -0.65417E-01
   0.17493E+02  -0.12712E-08  -0.85594E-07   0.10856E-04  -0.68095E-04  -0.78846E-01
   0.17991E+02  -0.13826E-08  -0.91118E-07   0.12756E-04  -0.81494E-04  -0.92703E-01
   0.18432E+02  -0.14546E-08  -0.94796E-07   0.14259E-04  -0.90162E-04  -0.10368E+00
   0.18716E+02  -0.14875E-08  -0.96526E-07   0.15128E-04  -0.94365E-04  -0.11003E+00
   0.18865E+02  -0.15006E-08  -0.97241E-07   0.15557E-04  -0.96200E-04  -0.11316E+00
   0.19184E+02  -0.15184E-08  -0.98312E-07   0.16394E-04  -0.99280E-04  -0.11929E+00
   0.19680E+02  -0.15180E-08  -0.98797E-07   0.17492E-04  -0.10208E-03  -0.12734E+00
   0.20240E+02  -0.14743E-08  -0.97734E-07   0.18424E-04  -0.10275E-03  -0.13419E+00
   0.20736E+02  -0.13965E-08  -0.95516E-07   0.18975E-04  -0.10151E-03  -0.13826E+00
   0.21055E+02  -0.13278E-08  -0.93532E-07   0.19194E-04  -0.99938E-04  -0.13989E+00
   0.21223E+02  -0.12859E-08  -0.92324E-07   0.19267E-04  -0.98893E-04  -0.14044E+00
   0.21582E+02  -0.11856E-08  -0.89420E-07   0.19328E-04  -0.96232E-04  -0.14092E+00
   0.22140E+02  -0.10058E-08  -0.84108E-07   0.19172E-04  -0.91061E-04  -0.13983E+00
   0.22770E+02  -0.78576E-09  -0.77179E-07   0.18643E-04  -0.84038E-04  -0.13603E+00
   0.23329E+02  -0.59492E-09  -0.70432E-07   0.17885E-04  -0.77054E-04  -0.13055E+00
   0.23687E+02  -0.48203E-09  -0.65884E-07   0.17266E-04  -0.72300E-04  -0.12605E+00
   0.23876E+02  -0.42672E-09  -0.63428E-07   0.16898E-04  -0.69721E-04  -0.12338E+00
   0.24280E+02  -0.32104E-09  -0.58119E-07   0.16032E-04  -0.64130E-04  -0.11708E+00
   0.24907E+02  -0.19138E-09  -0.49720E-07   0.14468E-04  -0.55249E-04  -0.10569E+00
   0.25617E+02  -0.94452E-10  -0.40235E-07   0.12431E-04  -0.45190E-04  -0.90844E-01
   0.26245E+02  -0.44625E-10  -0.31994E-07   0.10429E-04  -0.36439E-04  -0.76233E-01
   0.26648E+02  -0.25664E-10  -0.26840E-07   0.90637E-05  -0.30964E-04  -0.66263E-01
   0.26861E+02  -0.18643E-10  -0.24166E-07   0.83200E-05  -0.28125E-04  -0.60832E-01
   0.27314E+02  -0.87514E-11  -0.18624E-07   0.66972E-05  -0.22240E-04  -0.48975E-01
   0.28021E+02  -0.20167E-11  -0.10425E-07   0.40832E-05  -0.13541E-04  -0.29866E-01
   0.28819E+02  -0.17700E-12  -0.18881E-08   0.10568E-05  -0.44964E-05  -0.77292E-02
   0.29525E+02  -0.30876E-14   0.49757E-08  -0.16409E-05   0.27636E-05   0.12014E-01
   0.29979E+02  -0.97153E-18   0.90235E-08  -0.33622E-05   0.70387E-05   0.24615E-01
   0.30219E+02   0.00000E+00   0.11050E-07  -0.42656E-05   0.91772E-05   0.31230E-01
   0.30729E+02   0.00000E+00   0.15095E-07  -0.61626E-05   0.13441E-04   0.45124E-01
   0.31524E+02   0.00000E+00   0.20686E-07  -0.90304E-05   0.19323E-04   0.66136E-01
   0.32421E+02   0.00000E+00   0.25984E-07  -0.12099E-04   0.24884E-04   0.88633E-01
   0.33216E+02   0.00000E+00   0.29819E-07  -0.14633E-04   0.28901E-04   0.10721E+00
   0.33726E+02   0.00000E+00   0.31881E-07  -0.16156E-04   0.31057E-04   0.11838E+00
   0.33996E+02   0.00000E+00   0.32852E-07  -0.16927E-04   0.32071E-04   0.12404E+00
   0.34570E+02   0.00000E+00   0.34652E-07  -0.18483E-04   0.33951E-04   0.13546E+00
   0.35464E+02   0.00000E+00   0.36789E-07  -0.20674E-04   0.36181E-04   0.15155E+00
   0.36474E+02   0.00000E+00   0.38323E-07  -0.22794E-04   0.37786E-04   0.16712E+00
   0.37368E+02   0.00000E+00   0.39002E-07  -0.24357E-04   0.38505E-04   0.17860E+00
   0.37942E+02   0.00000E+00   0.39145E-07  -0.25205E-04   0.38666E-04   0.18484E+00
   0.38245E+02   0.00000E+00   0.39138E-07  -0.25605E-04   0.38666E-04   0.18779E+00
   0.38891E+02   0.00000E+00   0.38949E-07  -0.26349E-04   0.38490E-04   0.19326E+00
   0.39897E+02   0.00000E+00   0.38244E-07  -0.27224E-04   0.37797E-04   0.19971E+00
   0.41033E+02   0.00000E+00   0.36958E-07  -0.27823E-04   0.36521E-04   0.20413E+00
   0.42039E+02   0.00000E+00   0.35488E-07  -0.28036E-04   0.35060E-04   0.20571E+00
   0.42684E+02   0.00000E+00   0.34420E-07  -0.28030E-04   0.33999E-04   0.20568E+00
   0.43026E+02   0.00000E+00   0.33825E-07  -0.27985E-04   0.33406E-04   0.20536E+00
   0.43752E+02   0.00000E+00   0.32500E-07  -0.27800E-04   0.32090E-04   0.20402E+00
   0.44884E+02   0.00000E+00   0.30328E-07  -0.27293E-04   0.29933E-04   0.20031E+00
   0.46162E+02   0.00000E+00   0.27792E-07  -0.26448E-04   0.27420E-04   0.19413E+00
   0.47294E+02   0.00000E+00   0.25541E-07  -0.25506E-04   0.25190E-04   0.18722E+00
   0.48020E+02   0.00000E+00   0.24115E-07  -0.24824E-04   0.23779E-04   0.18223E+00
   0.48404E+02   0.00000E+00   0.23371E-07  -0.24443E-04   0.23043E-04   0.17944E+00
   0.49222E+02   0.00000E+00   0.21818E-07  -0.23595E-04   0.21508E-04   0.17321E+00
   0.50495E+02   0.00000E+00   0.19501E-07  -0.22191E-04   0.19218E-04   0.16292E+00
   0.51932E+02   0.00000E+00   0.17058E-07  -0.20531E-04   0.16806E-04   0.15074E+00
   0.53205E+02   0.00000E+00   0.15066E-07  -0.19031E-04   0.14841E-04   0.13973E+00
   0.54023E+02   0.00000E+00   0.13875E-07  -0.18068E-04   0.13667E-04   0.13266E+00
   0.54455E+02   0.00000E+00   0.13273E-07  -0.17561E-04   0.13073E-04   0.12894E+00
   0.55374E+02   0.00000E+00   0.12057E-07  -0.16494E-04   0.11875E-04   0.12111E+00
   0.56806E+02   0.00000E+00   0.10334E-07  -0.14875E-04   0.10177E-04   0.10923E+00
   0.58424E+02   0.00000E+00   0.86300E-08  -0.13137E-04   0.84982E-05   0.96470E-01
   0.59856E+02   0.00000E+00   0.73203E-08  -0.11697E-04   0.72092E-05   0.85898E-01
   0.60775E+02   0.00000E+00   0.65708E-08  -0.10828E-04   0.64725E-05   0.79512E-01
   0.61262E+02   0.00000E+00   0.62012E-08  -0.10385E-04   0.61097E-05   0.76265E-01
   0.62296E+02   0.00000E+00   0.54729E-08  -0.94869E-05   0.53964E-05   0.69668E-01
   0.63907E+02   0.00000E+00   0.44804E-08  -0.81998E-05   0.44305E-05   0.60217E-01
   0.65727E+02   0.00000E+00   0.35366E-08  -0.69043E-05   0.35257E-05   0.50704E-01
   0.67338E+02   0.00000E+00   0.28293E-08  -0.58861E-05   0.28638E-05   0.43227E-01
   0.68372E+02   0.00000E+00   0.24282E-08  -0.52912E-05   0.24979E-05   0.38859E-01
   0.68919E+02   0.00000E+00   0.22308E-08  -0.49940E-05   0.23208E-05   0.36676E-01
   0.70083E+02   0.00000E+00   0.18425E-08  -0.44009E-05   0.19791E-05   0.32321E-01
   0.71896E+02   0.00000E+00   0.13176E-08  -0.35792E-05   0.15309E-05   0.26286E-01
   0.73943E+02   0.00000E+00   0.83760E-09  -0.27958E-05   0.11305E-05   0.20533E-01
   0.75755E+02   0.00000E+00   0.51194E-09  -0.22216E-05   0.85467E-06   0.16316E-01
   0.76919E+02   0.00000E+00   0.35158E-09  -0.19046E-05   0.70980E-06   0.13988E-01
   0.77534E+02   0.00000E+00   0.28160E-09  -0.17504E-05   0.64164E-06   0.12856E-01
   0.78843E+02   0.00000E+00   0.16461E-09  -0.14452E-05   0.51228E-06   0.10615E-01
   0.80883E+02   0.00000E+00   0.56098E-10  -0.10011E-05   0.33911E-06   0.73527E-02
   0.83185E+02   0.00000E+00   0.88514E-11  -0.50989E-06   0.16635E-06   0.37449E-02
   0.85225E+02   0.00000E+00   0.37623E-12  -0.13443E-06   0.42918E-07   0.98732E-03
   0.86534E+02   0.00000E+00   0.62353E-15  -0.64359E-08   0.20356E-08   0.47269E-04
