             r          p1s           p2s           p2p           p3s           p6p 
   0.11363E+00   0.23862E+01   0.42460E+00   0.35411E+00   0.94093E-01   0.91784E-02
   0.11642E+00   0.23669E+01   0.41009E+00   0.36625E+00   0.90661E-01   0.94904E-02
   0.11821E+00   0.23539E+01   0.40053E+00   0.37404E+00   0.88400E-01   0.96905E-02
   0.11915E+00   0.23468E+01   0.39539E+00   0.37816E+00   0.87186E-01   0.97963E-02
   0.12116E+00   0.23314E+01   0.38430E+00   0.38692E+00   0.84566E-01   0.10021E-01
   0.12430E+00   0.23063E+01   0.36659E+00   0.40054E+00   0.80384E-01   0.10371E-01
   0.12784E+00   0.22766E+01   0.34599E+00   0.41590E+00   0.75526E-01   0.10764E-01
   0.13097E+00   0.22493E+01   0.32727E+00   0.42946E+00   0.71114E-01   0.11111E-01
   0.13298E+00   0.22313E+01   0.31503E+00   0.43815E+00   0.68232E-01   0.11333E-01
   0.13405E+00   0.22217E+01   0.30849E+00   0.44273E+00   0.66692E-01   0.11450E-01
   0.13631E+00   0.22008E+01   0.29445E+00   0.45246E+00   0.63385E-01   0.11699E-01
   0.13984E+00   0.21676E+01   0.27220E+00   0.46756E+00   0.58151E-01   0.12084E-01
   0.14382E+00   0.21291E+01   0.24660E+00   0.48451E+00   0.52133E-01   0.12516E-01
   0.14734E+00   0.20943E+01   0.22355E+00   0.49943E+00   0.46720E-01   0.12895E-01
   0.14961E+00   0.20717E+01   0.20859E+00   0.50894E+00   0.43209E-01   0.13137E-01
   0.15080E+00   0.20597E+01   0.20063E+00   0.51396E+00   0.41341E-01   0.13264E-01
   0.15335E+00   0.20339E+01   0.18361E+00   0.52459E+00   0.37346E-01   0.13533E-01
   0.15732E+00   0.19933E+01   0.15683E+00   0.54103E+00   0.31070E-01   0.13950E-01
   0.16179E+00   0.19471E+01   0.12630E+00   0.55941E+00   0.23919E-01   0.14414E-01
   0.16576E+00   0.19059E+01   0.99049E-01   0.57550E+00   0.17542E-01   0.14819E-01
   0.16831E+00   0.18793E+01   0.81475E-01   0.58574E+00   0.13433E-01   0.15077E-01
   0.16965E+00   0.18653E+01   0.72156E-01   0.59113E+00   0.11255E-01   0.15213E-01
   0.17252E+00   0.18354E+01   0.52300E-01   0.60252E+00   0.66160E-02   0.15498E-01
   0.17698E+00   0.17889E+01   0.21288E-01   0.62006E+00  -0.62199E-03   0.15938E-01
   0.18202E+00   0.17366E+01  -0.13788E-01   0.63956E+00  -0.87984E-02   0.16425E-01
   0.18648E+00   0.16905E+01  -0.44838E-01   0.65656E+00  -0.16027E-01   0.16848E-01
   0.18935E+00   0.16611E+01  -0.64741E-01   0.66733E+00  -0.20656E-01   0.17115E-01
   0.19086E+00   0.16456E+01  -0.75257E-01   0.67299E+00  -0.23100E-01   0.17256E-01
   0.19408E+00   0.16129E+01  -0.97579E-01   0.68490E+00  -0.28284E-01   0.17550E-01
   0.19910E+00   0.15624E+01  -0.13221E+00   0.70318E+00  -0.36316E-01   0.18001E-01
   0.20477E+00   0.15061E+01  -0.17106E+00   0.72338E+00  -0.45309E-01   0.18497E-01
   0.20979E+00   0.14572E+01  -0.20517E+00   0.74087E+00  -0.53189E-01   0.18924E-01
   0.21301E+00   0.14262E+01  -0.22689E+00   0.75190E+00  -0.58201E-01   0.19193E-01
   0.21472E+00   0.14100E+01  -0.23833E+00   0.75768E+00  -0.60836E-01   0.19333E-01
   0.21834E+00   0.13758E+01  -0.26251E+00   0.76981E+00  -0.66402E-01   0.19627E-01
   0.22399E+00   0.13236E+01  -0.29978E+00   0.78830E+00  -0.74961E-01   0.20073E-01
   0.23037E+00   0.12661E+01  -0.34121E+00   0.80860E+00  -0.84448E-01   0.20558E-01
   0.23601E+00   0.12166E+01  -0.37727E+00   0.82605E+00  -0.92680E-01   0.20973E-01
   0.23964E+00   0.11855E+01  -0.40009E+00   0.83698E+00  -0.97875E-01   0.21231E-01
   0.24156E+00   0.11693E+01  -0.41205E+00   0.84268E+00  -0.10059E+00   0.21365E-01
   0.24564E+00   0.11354E+01  -0.43724E+00   0.85462E+00  -0.10631E+00   0.21644E-01
   0.25199E+00   0.10839E+01  -0.47576E+00   0.87269E+00  -0.11502E+00   0.22064E-01
   0.25916E+00   0.10279E+01  -0.51817E+00   0.89233E+00  -0.12456E+00   0.22515E-01
   0.26552E+00   0.98019E+00  -0.55472E+00   0.90905E+00  -0.13274E+00   0.22895E-01
   0.26959E+00   0.95049E+00  -0.57767E+00   0.91945E+00  -0.13786E+00   0.23128E-01
   0.27175E+00   0.93507E+00  -0.58965E+00   0.92485E+00  -0.14052E+00   0.23249E-01
   0.27634E+00   0.90295E+00  -0.61475E+00   0.93609E+00  -0.14608E+00   0.23498E-01
   0.28349E+00   0.85469E+00  -0.65280E+00   0.95295E+00  -0.15446E+00   0.23866E-01
   0.29156E+00   0.80278E+00  -0.69422E+00   0.97105E+00  -0.16350E+00   0.24254E-01
   0.29871E+00   0.75905E+00  -0.72950E+00   0.98626E+00  -0.17113E+00   0.24573E-01
   0.30329E+00   0.73206E+00  -0.75146E+00   0.99562E+00  -0.17585E+00   0.24765E-01
   0.30572E+00   0.71812E+00  -0.76286E+00   0.10004E+01  -0.17828E+00   0.24863E-01
   0.31088E+00   0.68923E+00  -0.78659E+00   0.10104E+01  -0.18332E+00   0.25062E-01
   0.31892E+00   0.64625E+00  -0.82218E+00   0.10252E+01  -0.19080E+00   0.25350E-01
   0.32800E+00   0.60056E+00  -0.86038E+00   0.10408E+01  -0.19870E+00   0.25641E-01
   0.33604E+00   0.56254E+00  -0.89245E+00   0.10536E+01  -0.20522E+00   0.25870E-01
   0.34121E+00   0.53928E+00  -0.91217E+00   0.10614E+01  -0.20916E+00   0.26003E-01
   0.34394E+00   0.52733E+00  -0.92233E+00   0.10654E+01  -0.21118E+00   0.26068E-01
   0.34974E+00   0.50272E+00  -0.94332E+00   0.10735E+01  -0.21529E+00   0.26198E-01
   0.35879E+00   0.46646E+00  -0.97436E+00   0.10853E+01  -0.22124E+00   0.26373E-01
   0.36900E+00   0.42842E+00  -0.10070E+01   0.10973E+01  -0.22730E+00   0.26532E-01
   0.37805E+00   0.39715E+00  -0.10339E+01   0.11070E+01  -0.23209E+00   0.26640E-01
   0.38386E+00   0.37822E+00  -0.10501E+01   0.11126E+01  -0.23489E+00   0.26694E-01
   0.38693E+00   0.36855E+00  -0.10584E+01   0.11155E+01  -0.23628E+00   0.26717E-01
   0.39346E+00   0.34875E+00  -0.10753E+01   0.11211E+01  -0.23905E+00   0.26755E-01
   0.40364E+00   0.31990E+00  -0.10998E+01   0.11290E+01  -0.24283E+00   0.26785E-01
   0.41513E+00   0.29005E+00  -0.11248E+01   0.11366E+01  -0.24635E+00   0.26777E-01
   0.42531E+00   0.26585E+00  -0.11447E+01   0.11422E+01  -0.24882E+00   0.26733E-01
   0.43184E+00   0.25135E+00  -0.11563E+01   0.11453E+01  -0.25009E+00   0.26688E-01
   0.43529E+00   0.24399E+00  -0.11622E+01   0.11468E+01  -0.25067E+00   0.26659E-01
   0.44264E+00   0.22902E+00  -0.11738E+01   0.11495E+01  -0.25169E+00   0.26585E-01
   0.45409E+00   0.20746E+00  -0.11900E+01   0.11528E+01  -0.25270E+00   0.26438E-01
   0.46702E+00   0.18548E+00  -0.12056E+01   0.11551E+01  -0.25303E+00   0.26228E-01
   0.47847E+00   0.16793E+00  -0.12170E+01   0.11561E+01  -0.25265E+00   0.26004E-01
   0.48582E+00   0.15754E+00  -0.12232E+01   0.11561E+01  -0.25207E+00   0.25843E-01
   0.48971E+00   0.15229E+00  -0.12262E+01   0.11560E+01  -0.25167E+00   0.25753E-01
   0.49797E+00   0.14171E+00  -0.12318E+01   0.11554E+01  -0.25059E+00   0.25547E-01
   0.51085E+00   0.12666E+00  -0.12385E+01   0.11535E+01  -0.24833E+00   0.25196E-01
   0.52540E+00   0.11156E+00  -0.12435E+01   0.11501E+01  -0.24497E+00   0.24755E-01
   0.53828E+00   0.99693E-01  -0.12457E+01   0.11460E+01  -0.24131E+00   0.24327E-01
   0.54655E+00   0.92750E-01  -0.12460E+01   0.11429E+01  -0.23865E+00   0.24035E-01
   0.55092E+00   0.89275E-01  -0.12459E+01   0.11411E+01  -0.23714E+00   0.23875E-01
   0.56022E+00   0.82314E-01  -0.12450E+01   0.11370E+01  -0.23373E+00   0.23523E-01
   0.57471E+00   0.72544E-01  -0.12419E+01   0.11297E+01  -0.22785E+00   0.22945E-01
   0.59107E+00   0.62911E-01  -0.12359E+01   0.11203E+01  -0.22045E+00   0.22249E-01
   0.60556E+00   0.55470E-01  -0.12288E+01   0.11111E+01  -0.21328E+00   0.21598E-01
   0.61486E+00   0.51173E-01  -0.12233E+01   0.11048E+01  -0.20839E+00   0.21164E-01
   0.61978E+00   0.49039E-01  -0.12201E+01   0.11013E+01  -0.20571E+00   0.20929E-01
   0.63025E+00   0.44800E-01  -0.12129E+01   0.10937E+01  -0.19984E+00   0.20420E-01
   0.64655E+00   0.38933E-01  -0.12002E+01   0.10811E+01  -0.19020E+00   0.19598E-01
   0.66496E+00   0.33254E-01  -0.11839E+01   0.10659E+01  -0.17866E+00   0.18633E-01
   0.68126E+00   0.28945E-01  -0.11681E+01   0.10518E+01  -0.16793E+00   0.17747E-01
   0.69172E+00   0.26490E-01  -0.11573E+01   0.10425E+01  -0.16080E+00   0.17164E-01
   0.69726E+00   0.25281E-01  -0.11514E+01   0.10375E+01  -0.15696E+00   0.16851E-01
   0.70903E+00   0.22900E-01  -0.11385E+01   0.10266E+01  -0.14865E+00   0.16178E-01
   0.72737E+00   0.19651E-01  -0.11174E+01   0.10091E+01  -0.13533E+00   0.15105E-01
   0.74808E+00   0.16565E-01  -0.10923E+01   0.98887E+00  -0.11981E+00   0.13862E-01
   0.76642E+00   0.14265E-01  -0.10693E+01   0.97051E+00  -0.10569E+00   0.12736E-01
   0.77819E+00   0.12972E-01  -0.10541E+01   0.95855E+00  -0.96468E-01   0.12003E-01
   0.78441E+00   0.12341E-01  -0.10460E+01   0.95218E+00  -0.91545E-01   0.11612E-01
   0.79766E+00   0.11107E-01  -0.10286E+01   0.93854E+00  -0.80980E-01   0.10773E-01
   0.81829E+00   0.94476E-02  -0.10010E+01   0.91710E+00  -0.64299E-01   0.94478E-02
   0.84159E+00   0.78978E-02  -0.96934E+00   0.89267E+00  -0.45193E-01   0.79293E-02
   0.86222E+00   0.67618E-02  -0.94109E+00   0.87095E+00  -0.28098E-01   0.65675E-02
   0.87546E+00   0.61312E-02  -0.92290E+00   0.85699E+00  -0.17059E-01   0.56860E-02
